	GCA_000017885.4_ASM1788v4.faa	GCA_000691485.4_ASM69148v4.faa	GCA_000714495.3_ASM71449v3.faa	GCA_001578205.1_ASM157820v1.faa	GCA_001704975.1_ASM170497v1.faa	GCA_003431975.1_ASM343197v1.faa	GCA_003571425.1_ASM357142v1.faa	GCA_004006455.1_ASM400645v1.faa	GCA_009937765.1_ASM993776v1.faa	GCA_019710455.1_ASM1971045v1.faa	GCA_020520205.1_ASM2052020v1.faa	GCA_020535425.1_ASM2053542v1.faa	GCA_024498355.1_ASM2449835v1.faa	GCA_029478105.2_DSM492.faa	GCA_029634685.1_ASM2963468v1.faa	GCA_029857515.2_DSM1794.faa	GCA_029857565.2_DSM13835.faa	GCA_030717805.1_ASM3071780v1.faa	GCA_033112945.1_ASM3311294v1.faa	GCA_037113565.1_ASM3711356v1.faa	GCA_038734075.1_DSM-27.faa	GCA_038736375.1_P48C1.faa	GCA_038738535.1_V17C11.faa	GCA_039619495.1_ASM3961949v1.faa	GCA_039619525.1_ASM3961952v1.faa	GCA_039619745.1_ASM3961974v1.faa	GCA_040250345.1_ASM4025034v1.faa	GCA_040712205.1_JJ950.faa	GCA_040712255.1_JJ1622.faa	GCA_040712265.1_JJ1368.faa	GCA_040893075.1_ASM4089307v1.faa	GCA_042180925.1_ASM4218092v1.faa	GCA_046581415.1_ASM4658141v1.faa	GCA_047224465.1_ASM4722446v1.faa	GCA_047424865.1_ASM4742486v1.faa	GCA_050994975.1_ASM5099497v1.faa	GCA_050995305.1_ASM5099530v1.faa	GCA_050995315.1_ASM5099531v1.faa	GCA_050995325.1_ASM5099532v1.faa	GCA_050995335.1_ASM5099533v1.faa	GCA_050995345.1_ASM5099534v1.faa	GCA_050995355.1_ASM5099535v1.faa	GCA_050995395.1_ASM5099539v1.faa	GCA_050995435.1_ASM5099543v1.faa	GCA_050995465.1_ASM5099546v1.faa	GCA_050995495.1_ASM5099549v1.faa	GCA_051981715.1_ASM5198171v1.faa	GCA_052143355.1_ASM5214335v1.faa	GCA_052143365.1_ASM5214336v1.faa	GCA_052144035.1_ASM5214403v1.faa	GCA_052144045.1_ASM5214404v1.faa	GCA_900186955.1_49386_E02.faa	GCA_964063375.1_Bacillus_pumilus_CIRM-BIA2784.faa
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	97.9	94.7	95.9	96.8	98.2	89.8	96.9	98.7	96.1	98.4	98.6	95.2	94.7	91.3	95.2	97.8	94.9	96.9	98.4	97.5	97.2	98.5	98.4	98.3	90.1	98.1	96.4	97.6	97.6	95.8	98.3	97.5	98.7	86.0	98.3	98.1	98.1	98.1	98.0	98.1	98.1	98.0	92.9	98.7	98.7	98.7	97.0	95.0	95.1	95.0	95.0	97.2	94.1
'2	1.2	2.9	2.6	2.2	1.3	2.8	1.5	0.9	1.8	1.3	0.8	2.7	2.3	5.2	1.6	1.8	2.6	1.5	1.3	1.5	1.9	0.7	1.0	1.0	6.9	1.2	1.8	1.2	0.9	1.2	1.0	1.5	1.0	5.6	0.8	1.1	1.1	1.1	1.2	1.1	1.1	1.2	4.2	0.9	0.9	0.9	2.1	2.6	2.5	2.6	2.6	2.0	4.4
'3	0.2	0.5	0.2	0.3	0.5	1.1	0.2	0.1	0.3	0.2	0.2	0.8	0.3	1.0	0.5	0.2	1.1	0.4	0.2	0.5	0.5	0.1	0.1	0.2	0.9	0.2	0.5	0.3	0.2	0.3	0.2	0.4	0.3	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.2	0.2	0.2	0.6	1.0	1.1	1.0	1.0	0.4	0.9
'4	0.0	0.0	0.0	0.0	0.0	0.4	0.1	0.0	0.1	0.1	0.0	0.5	0.1	0.7	0.4	0.0	0.5	0.2	0.1	0.0	0.1	0.0	0.1	0.0	0.1	0.1	0.1	0.0	0.0	0.2	0.1	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.1	0.2
'5	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.1	0.1	0.3	0.0	0.1	0.1	0.0	0.0	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.0
'6	0.0	0.0	0.0	0.0	0.0	0.3	0.2	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'9	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11-15	0.4	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.3	0.3	0.0	0.0	0.0	0.6	0.0	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.0	0.0	0.0	0.0	0.0	0.6	0.6	0.6	0.6	0.0	0.0
16-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21-50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
